127.0.0.1 - - [11/Jul/2017:19:58:18 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:20 -0700] "GET /Hostel_web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:22 -0700] "GET /Hostel_web/login.do HTTP/1.1" 200 7160
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:22 -0700] "GET /Hostel_web/images/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:34 -0700] "GET /Hostel_web/login.do HTTP/1.1" 200 7160
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:34 -0700] "GET /Hostel_web/images/login2.jpg HTTP/1.1" 200 259157
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:58:34 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "POST /Hostel_web/loginSubmmit.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/Deshboard.do HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/images/image3.jpg HTTP/1.1" 200 79396
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/images/image2.jpg HTTP/1.1" 200 62556
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/images/image5.jpg HTTP/1.1" 200 57182
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/images/image1.jpg HTTP/1.1" 200 51548
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/images/image4.jpg HTTP/1.1" 200 20012
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:04 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:17 -0700] "GET /Hostel_web/hostels.do HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:17 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:17 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:22 -0700] "GET /Hostel_web/hostelsgirls.do HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:22 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:22 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:24 -0700] "GET /Hostel_web/hostelsboys.do HTTP/1.1" 200 4920
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:24 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:24 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:25 -0700] "GET /Hostel_web/hostels.do HTTP/1.1" 200 5127
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:25 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:25 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:27 -0700] "GET /Hostel_web/Deshboard.do HTTP/1.1" 200 4519
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:27 -0700] "GET /Hostel_web/gray HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Jul/2017:19:59:27 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
